Model,Accuracy,RMSE,MAPE,SD of Errors,SD of APE
Baseline: előző hónap,93.49437571452124,2.472282998099594,6.505624285478756,1.5926374975086486,5.303647146511941
Baseline: rolling mean (modell nélkül),91.64962804785323,3.1083819155759156,8.350371952146777,1.931970581558786,0.06527459518768193
RF többkimenetű (lagged),91.66773537665156,2.988694553140133,8.332264623348436,1.8317095709377718,0.06451742906107415
LightGBM többkimenetű (lagged),87.58687781080606,4.336857156556947,12.413122189193942,2.350458509512209,0.07376488831122224
RF + rolling mean jellemzők (multi),91.86031506983699,2.918424489040503,8.139684930163014,1.8438536731344368,0.06883773367178486
GradientBoosting + rolling mean (multi),90.55899007853905,3.213764953764147,9.441009921460946,,0.07702093751760151
RF szekvenciális (lagged),65.38953945864677,10.130982340170965,34.610460541353234,6.4480599996654275,0.3895140577951128
